pfct_sn,pfct_nm,addr,instl_ymd,instl_place_cd_nm,prvt_pblc_yn_cd_nm,idrodr_cd_nm,incld_water,updated_date
4773,학동 아남아파트 어린이놀이시설,광주광역시 동구 의재로 23-8 (학동),1994-02-12,주택단지,민간,실외,미포함,2024-02-16
4775,삼익세라믹아파트 놀이시설,광주광역시 동구 남문로 676 (학동),1989-04-11,주택단지,민간,실외,미포함,2024-02-16
4777,마리아어린이집 놀이터,광주광역시 서구 상무대로 961,2007-05-01,주택단지,민간,실외,미포함,2024-02-16
4779,성균관어린이집 놀이터,광주광역시 남구 회서로 36 (주월동),1996-01-17,어린이집,민간,실외,미포함,2024-02-16
4782,남구 구립 흰돌어린이집 놀이터,광주광역시 남구 군분로93번길 3-1 (월산동),2000-01-01,주택단지,민간,실외,포함,2024-02-16
4785,동림북구어린이집 놀이터,광주광역시 북구 북문대로247번길 42 (동림동),2012-03-30,주택단지,민간,실외,미포함,2024-02-16
4786,매곡어린이집놀이터,광주광역시 북구 어매마을길 45 (매곡동),2000-02-01,주택단지,민간,실외,미포함,2024-02-16
4787,온누리어린이집 놀이시설,광주광역시 북구 지산마을길 61-1 (지야동),2009-07-06,놀이제공영업소,민간,실내,미포함,2024-02-16
4791,아이꿈터어린이집놀이터,광주광역시 북구 양산택지로34번길 9 (양산동),2005-03-03,주택단지,민간,실내,미포함,2024-02-16
4792,광주어린이집 놀이시설,광주광역시 북구 설죽로355번길 32-10 (매곡동),2004-04-01,주택단지,민간,실외,미포함,2024-02-16
4794,송정 온세계아파트 어린이놀이시설,"광주광역시 광산구 송정로 80 (송정동, 온세계아이조움아파트)",2004-12-24,주택단지,민간,실외,미포함,2024-02-16
4795,송정명지2차아파트,"광주광역시 광산구 송도로320번길 16-15 (송정동, 송정명지2차아파트)",2015-01-20,놀이제공영업소,민간,실내,미포함,2024-02-16
4796,상아아파트 어린이놀이터,"광주광역시 광산구 도산신송길 31 (송정동, 송정동 상아아파트)",1996-03-26,놀이제공영업소,민간,실내,미포함,2024-02-16
4797,도산동서경아파트 놀이시설,"광주광역시 광산구 도산로 28 (도산동, 서경아파트)",1995-08-01,주택단지,민간,실내,미포함,2024-02-16
4798,무등파크맨션 어린이놀이시설,"광주광역시 광산구 도산로 3 (도산동, 도산동 무등아파트)",2016-12-15,주택단지,민간,실외,미포함,2024-02-16
4802,도산대주파크빌1차아파트 101동놀이터,"광주광역시 광산구 송도로182번길 55 (도산동, 도산동 1차 대주파크빌)",2014-01-16,놀이제공영업소,민간,실내,미포함,2024-02-16
4803,도산금강2차아파트 놀이시설,"광주광역시 광산구 송도로182번길 15-12 (도산동, 금강2차아파트)",1999-09-01,식품접객업소,민간,실내,미포함,2024-02-16
4805,카이스트2차아파트 놀이시설,"광주광역시 광산구 송도로181번길 30 (도산동, 카이스트빌2차아파트)",2001-12-01,종교시설,민간,실내,미포함,2024-02-16
4806,가천 아파트 어린이놀이시설,"광주광역시 광산구 어등대로595번길 13 (운수동, 가천아파트)",1997-01-01,놀이제공영업소,민간,실외,미포함,2024-02-16
4808,대덕6차무지개아파트 602동옆놀이터,"광주광역시 광산구 금봉로 36 (소촌동, 대덕무지개아파트)",2013-10-12,놀이제공영업소,민간,실내,미포함,2024-02-16
4810,소촌동EG스위트밸리2단지아파트 놀이시설,"광주광역시 광산구 소촌로152번길 5 (소촌동, 스위트밸리2차아파트)",2012-05-04,주택단지,민간,실내,미포함,2024-02-16
4811,월곡동일신아파트 어린이놀이시설,"광주광역시 광산구 사암로 271 (월곡동, 하남일신아파트)",2014-04-14,주택단지,민간,실외,미포함,2024-02-16
4814,대덕7차아파트 어린이놀이터,"광주광역시 광산구 산정공원로71번길 18-7 (산정동, 산정동 대덕훼미리)",2014-01-02,주택단지,민간,실외,포함,2024-02-16
4815,도천중흥1단지-1,"광주광역시 광산구 비아로62번길 7 (도천동, 중흥아파트)",1995-01-01,주택단지,민간,실외,미포함,2024-02-16
4816,도천중흥1단지-2,"광주광역시 광산구 비아로62번길 7 (도천동, 중흥아파트)",1995-01-01,놀이제공영업소,민간,실내,미포함,2024-02-16
4817,첨단동아1차아파트 놀이시설,"광주광역시 광산구 첨단중앙로181번길 7 (월계동, 동아아파트)",2015-02-09,어린이집,민간,실외,미포함,2024-02-16
4818,첨단두산1차-1,"광주광역시 광산구 월계로 117-21 (월계동, 첨단두산1차아파트)",1996-01-01,주택단지,민간,실외,미포함,2024-02-16
4819,첨단두산1차-2,"광주광역시 광산구 월계로 117-21 (월계동, 첨단두산1차아파트)",1996-01-01,주상복합,민간,실외,미포함,2024-02-16
4820,첨단 3-5 호반리젠시빌329동놀이터,"광주광역시 광산구 첨단중앙로68번길 99 (산월동, 호반리젠시빌)",2003-01-01,주택단지,민간,실내,미포함,2024-02-16
4821,신가우미이노스빌-1,"광주광역시 광산구 수등로258번길 10 (신가동, 우미이노스빌)",2002-06-24,도시공원,공공,실외,미포함,2024-02-16
4822,신가우미이노스빌-2,"광주광역시 광산구 수등로258번길 10 (신가동, 우미이노스빌)",2002-06-24,주택단지,민간,실외,미포함,2024-02-16
4823,신가1차호반리젠시빌-1,"광주광역시 광산구 수등로 280 (신가동, 신가1차호반리젠시빌)",2001-06-01,주택단지,민간,실외,미포함,2024-02-16
4825,운남동남양아파트 어린이놀이터,"광주광역시 광산구 목련로219번길 45 (운남동, 남양아파트)",1998-11-25,주상복합,민간,실외,미포함,2024-02-16
4826,풍영리버빌아파트 102동앞놀이시설,"광주광역시 광산구 수등로 287 (신창동, 신가부영아파트)",2001-05-11,어린이집,공공,실외,미포함,2024-02-16
4827,풍영리버빌아파트 104동앞놀이시설,"광주광역시 광산구 수등로 287 (신창동, 신가부영아파트)",2001-05-11,주택단지,민간,실외,미포함,2024-02-16
4828,풍영리버빌아파트 107동뒤놀이시설,"광주광역시 광산구 수등로 287 (신창동, 신가부영아파트)",2001-05-11,주상복합,민간,실외,미포함,2024-02-16
